_id,finishedAt,gameLobbyId,treatmentId,roundIds,playerIds,batchId,createdAt
bfHDF77nhaiFR2MZg,2021-01-14T01:15:48Z,bfHDF77nhaiFR2MZg,Z93NtKDeNPRgH8umv,"P37tnMwchpt2WnFcd,an9vGAxNzL32F23zo,q8iX6i48EukEf8kPk",xnToMAE8miYnhaPrm,pmj3TTpWXrR6pd52N,2021-01-14T00:37:50Z
GaSYbLc4K9tJNd8sX,2021-01-15T02:50:05Z,GaSYbLc4K9tJNd8sX,Z93NtKDeNPRgH8umv,"euMLqdq7LQW25EbLY,s34zkZghSahAkPRdg,ERRtFEZkWg9hQiza9",hSWJLJvoAsurJiAtS,pmj3TTpWXrR6pd52N,2021-01-15T02:09:02Z
dnkRGrtEZpKou8jFk,2021-01-15T18:55:03Z,dnkRGrtEZpKou8jFk,Z93NtKDeNPRgH8umv,"w6wdtRDpG6Mf3di9B,wZ7ARkdnmhzH5CBpA,qc2hJi5fkgoeMb7zW",y69TCCskd2eBvHigm,pmj3TTpWXrR6pd52N,2021-01-15T18:17:50Z
2Xs2eH2QHSJrCcq4F,2021-01-15T19:02:21Z,2Xs2eH2QHSJrCcq4F,Z93NtKDeNPRgH8umv,"8ssz4HNem7vNAyxb5,W5SLAmAD7Yop2hGxP,5h5sxSoCvrucwTPdr",PYgXGmd624L4SKks2,pmj3TTpWXrR6pd52N,2021-01-15T18:21:42Z
Csgw7bbPBccue2A9M,2021-01-15T22:47:01Z,Csgw7bbPBccue2A9M,Z93NtKDeNPRgH8umv,"rEDxyBwJrY9wrRhAB,MLTKJ7o5xPGv5EdYM,F956kJrSCzhgt7b4n",syxhCWDuthe7GGWZd,pmj3TTpWXrR6pd52N,2021-01-15T22:06:15Z
vagwYs2QmP39CxExx,2021-02-02T00:48:53Z,vagwYs2QmP39CxExx,Z93NtKDeNPRgH8umv,"fjBCzBkyqcr7jwrfc,PWyLGSJo5qXYopYis,DAv3pQwkipWMy6D5D",g9cATJdmEfGFQDCfi,pmj3TTpWXrR6pd52N,2021-02-02T00:44:28Z
7z7Q5BdBQ4goGAZuC,2021-02-02T18:11:31Z,7z7Q5BdBQ4goGAZuC,Z93NtKDeNPRgH8umv,"S2P4zQenuCcC2EPiY,JQeMWdEMRaSfYCKh7,gGwaS47RzAtp76rvj",NQN2MtSAaT96vg3aC,pmj3TTpWXrR6pd52N,2021-02-02T18:05:59Z
5CgaAFHEegx2d5JFR,2021-02-18T00:14:45Z,5CgaAFHEegx2d5JFR,Z93NtKDeNPRgH8umv,"gWuJoJNDrrn3phoo3,2v9ecBv5KPJAtWfNR,yLm3Z7tNZhymS4ZM8",4aNqiQKGDiu2Fivmy,pmj3TTpWXrR6pd52N,2021-02-18T00:13:22Z
HwaTxmdijHNdrvS3b,2021-02-18T00:33:27Z,HwaTxmdijHNdrvS3b,Z93NtKDeNPRgH8umv,"Qh7FpBDK6oA5aByXC,q6eCM6pFyfXEzTxvE,Y9cHXGoqCBkTjcCKf",9xyjtLuWbRwzSWLjP,PMZ6tqnCYGkRiZ9iK,2021-02-18T00:27:34Z
yJDfex3oNG4FTe4g8,,yJDfex3oNG4FTe4g8,iAh7aAgjjQBsweokZ,"G6dbe3ci9m3vAd3wK,Gf8wfj3pQybQxAPep,B2wM4TAdqFNuQpHrv",wzysQZzt92jWKbyzZ,cgj5CznyDmg2DWEAq,2021-02-18T22:49:52Z
