_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt
TfW66NCDmsyfxSqp7,26,Submission 1, ,2021-01-23T00:10:07Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
doGyZPENqX5oGWrqr,27,Submission 2, ,2021-01-23T00:10:09Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
Fa3B2wq9EymZChRNF,28,Submission 3, ,2021-01-23T00:10:11Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
sDghc6eGB6BrudWpd,29,Submission 4, ,2021-01-23T00:10:12Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
ngkdczyGDrwC9zshz,30,Submission 5, ,2021-01-23T00:10:12Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
scKgPF6drhoe6DCya,31,Submission 6, ,2021-01-23T00:10:13Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
95SNnbxWzHW7KnfDj,32,Submission 7, ,2021-01-23T00:10:13Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
ZMKwNYCZ8QyDXzJLo,33,Submission 8, ,2021-01-23T00:10:13Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
noggtGYD9SoCG7Hkz,34,Submission 9, ,2021-01-23T00:10:14Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
EjRDjAY8XyowqXs5d,35,Submission 10, ,2021-01-23T00:10:14Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
XMjtLgK4ShLFmjL75,36,Submission 11, ,2021-01-23T00:10:15Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
CirJeYq27pep4WBFA,37,Submission 12, ,2021-01-23T00:10:15Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
JcADaaM5Lqvh9W3p6,38,Submission 13, ,2021-01-23T00:10:16Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
6ow9n4qqLgBh4xzBz,39,Submission 14, ,2021-01-23T00:10:16Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
EuN2zZNey5XH2n9se,40,Submission 15, ,2021-01-23T00:10:17Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
LPJaRdvBX6aPGQ3Zx,41,Submission 16, ,2021-01-23T00:10:17Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
mnzCA4QH6wMXK8rAT,42,Submission 17, ,2021-01-23T00:10:18Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
j8QwZEckW2QpW75Nf,43,Submission 18, ,2021-01-23T00:10:18Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
s5cd8sFLGPHgwQF7R,44,Submission 19, ,2021-01-23T00:10:19Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
hN6m9XCEcamNEawMn,45,Submission 20, ,2021-01-23T00:10:19Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
